,"1. Rankings for all countries, 2006 - 2021",,,,,,,,,,
"Dataset with option to select the year, and see the results for all countries for that year. Sort by HPI score, life expectancy, GDP per capita or any other variable in the data set. You can filter by continent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CHOOSE YEAR HERE: ,,2021,,,,,,,Good,,
USE THE FILTERS BELOW TO SORT BY HPI RANK OR COMPONENT,,,,,,,,,Average,,
,,,,,,,,,Poor,,
,,,,,,,,,,,
HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Carbon Footprint (tCO2e),HPI,CO2 threshold for year  (tCO2e),GDP per capita ($)
49.0,Japan,JPN,2021JPN,8,124612.5,84.8,6.09,11.66,42.7,3.17,41035
50.0,Bhutan,BTN,2021BTN,6,777.5,71.8,5.20,3.29,42.3,3.17,10908
51.0,China,CHN,2021CHN,8,1425893.5,78.2,5.86,8.38,41.9,3.17,17657
52.0,North Macedonia,MKD,2021MKD,7,2103.3,73.8,5.53,5.49,41.7,3.17,16709
53.0,Kyrgyzstan,KGZ,2021KGZ,7,6527.7,70.0,5.56,4.09,41.4,3.17,4934
54.0,Taiwan,TWN,2021TWN,8,23859.9,81.0,6.25,11.43,41.2,3.17,0
55.0,Lithuania,LTU,2021LTU,7,2786.7,73.7,6.86,10.27,41.0,3.17,39305
56.0,Slovakia,SVK,2021SVK,7,5447.6,74.9,6.42,9.34,41.0,3.17,32535
57.0,Sri Lanka,LKA,2021LKA,6,21773.4,76.4,4.10,2.18,40.4,3.17,13251
58.0,Iceland,ISL,2021ISL,3,370.3,82.7,7.56,17.82,40.3,3.17,53003
59.0,Poland,POL,2021POL,7,38307.7,76.5,5.98,8.89,40.3,3.17,34916
60.0,Indonesia,IDN,2021IDN,8,273753.2,67.6,5.43,3.19,40.1,3.17,11859
61.0,Mauritius,MUS,2021MUS,5,1298.9,73.6,5.95,7.65,40.0,3.17,20902
62.0,Uruguay,URY,2021URY,1,3426.3,75.4,6.50,10.51,39.9,3.17,23257
63.0,Bahrain,BHR,2021BHR,4,1463.3,78.8,6.50,12.14,39.9,3.17,49754
64.0,Bosnia and Herzegovina,BIH,2021BIH,7,3270.9,75.3,5.75,7.85,39.8,3.17,15893
65.0,Senegal,SEN,2021SEN,5,16876.7,67.1,4.90,1.47,39.7,3.17,3512
66.0,Australia,AUS,2021AUS,2,25921.1,84.5,7.11,17.70,39.5,3.17,49774
67.0,Malta,MLT,2021MLT,3,526.7,83.8,6.44,14.82,39.3,3.17,45572
68.0,Bangladesh,BGD,2021BGD,6,169356.3,72.4,4.12,1.22,39.2,3.17,5911
69.0,Malaysia,MYS,2021MYS,8,33573.9,74.9,6.01,8.97,39.1,3.17,26333
70.0,Latvia,LVA,2021LVA,7,1873.9,73.6,6.35,9.58,39.1,3.17,32080
71.0,Libya,LBY,2021LBY,4,6735.3,71.9,5.50,5.89,39.0,3.17,20274
72.0,Belgium,BEL,2021BEL,3,11611.4,81.9,6.88,15.84,38.9,3.17,51824
73.0,Belarus,BLR,2021BLR,7,9578.2,72.4,5.60,6.59,38.7,3.17,19873
74.0,Tunisia,TUN,2021TUN,4,12262.9,73.8,4.50,3.33,38.6,3.17,10396
75.0,Estonia,EST,2021EST,7,1328.7,77.1,6.55,12.59,38.3,3.17,38718
76.0,South Korea,KOR,2021KOR,8,51830.1,83.7,6.11,14.39,38.0,3.17,44232
77.0,Bulgaria,BGR,2021BGR,7,6885.9,71.8,5.42,6.34,37.5,3.17,24394
78.0,Nepal,NPL,2021NPL,6,30035.0,68.5,4.62,2.09,37.4,3.17,3854
79.0,Canada,CAN,2021CAN,2,38155.0,82.7,6.94,17.87,37.2,3.17,48218
80.0,Georgia,GEO,2021GEO,7,3758.0,71.7,4.91,4.59,37.2,3.17,15487
81.0,Cyprus,CYP,2021CYP,3,1244.2,81.2,6.27,14.96,36.4,3.17,41694
82.0,Ukraine,UKR,2021UKR,7,43531.4,71.6,5.31,6.45,36.4,3.17,12949
83.0,Cambodia,KHM,2021KHM,8,16589.0,69.6,4.56,2.80,36.3,3.17,4355
84.0,Montenegro,MNE,2021MNE,7,627.9,76.3,5.39,9.59,35.5,3.17,20710
85.0,Congo (Brazzaville),COG,2021COG,5,5835.8,63.5,4.92,1.84,35.2,3.17,3234
86.0,Serbia,SRB,2021SRB,7,7296.8,74.2,6.25,12.28,35.0,3.17,19828
87.0,Gabon,GAB,2021GAB,5,2341.2,65.8,5.08,3.87,34.4,3.17,13814
88.0,Azerbaijan,AZE,2021AZE,7,10313.0,69.4,5.20,6.10,34.4,3.17,14434
89.0,Ethiopia,ETH,2021ETH,5,120283.0,65.0,4.10,0.20,34.0,3.17,2319
90.0,Paraguay,PRY,2021PRY,1,6703.8,70.3,5.58,8.27,33.9,3.17,13676
91.0,Turkey,TUR,2021TUR,4,84775.4,76.0,4.37,6.27,33.8,3.17,31467
92.0,Pakistan,PAK,2021PAK,6,231402.1,66.1,4.49,2.23,33.7,3.17,5232
93.0,Iraq,IRQ,2021IRQ,4,43533.6,70.4,5.09,6.79,33.4,3.17,8787
94.0,Cameroon,CMR,2021CMR,5,27198.6,60.3,4.96,1.30,33.4,3.17,3700
95.0,Mozambique,MOZ,2021MOZ,5,32077.1,59.3,5.18,1.60,33.2,3.17,1227
96.0,Ghana,GHA,2021GHA,5,32833.0,63.8,4.38,1.13,32.9,3.17,5435
97.0,Jordan,JOR,2021JOR,4,11148.3,74.3,3.91,4.11,32.8,3.17,9203
98.0,Venezuela,VEN,2021VEN,1,28199.9,70.6,5.11,7.37,32.7,3.17,0
99.0,Mauritania,MRT,2021MRT,5,4615.0,64.4,4.50,2.08,32.4,3.17,5308
100.0,Cote d'Ivoire,CIV,2021CIV,5,27478.2,58.6,5.06,1.23,32.3,3.17,5316
101.0,Egypt,EGY,2021EGY,4,109262.2,70.2,4.03,3.14,32.2,3.17,12180
102.0,United States of America,USA,2021USA,2,336997.6,77.2,6.96,19.59,32.1,3.17,63636
103.0,Bolivia,BOL,2021BOL,1,12079.5,63.6,5.57,5.88,32.1,3.17,8052
104.0,Myanmar,MMR,2021MMR,8,53798.1,65.7,4.31,2.46,31.6,3.17,4033
105.0,Guinea,GIN,2021GIN,5,13531.9,58.9,4.94,1.70,30.9,3.17,2640
106.0,Uganda,UGA,2021UGA,5,45853.8,62.7,4.22,1.08,30.7,3.17,2246
107.0,Kenya,KEN,2021KEN,5,53005.6,61.4,4.46,1.36,30.7,3.17,4746
108.0,Niger,NER,2021NER,5,25252.7,61.6,4.37,1.11,30.6,3.17,1187
109.0,Singapore,SGP,2021SGP,8,5941.1,82.8,6.59,23.24,30.5,3.17,107741
110.0,Laos,LAO,2021LAO,8,7425.1,68.1,4.93,6.98,30.2,3.17,7847
111.0,Madagascar,MDG,2021MDG,5,28915.7,64.5,3.89,1.08,29.8,3.17,1482
112.0,Kazakhstan,KAZ,2021KAZ,7,19196.5,69.4,6.26,14.22,29.4,3.17,26111
113.0,South Africa,ZAF,2021ZAF,5,59392.3,62.3,5.60,7.08,29.3,3.17,13312
114.0,Saudi Arabia,SAU,2021SAU,4,35950.4,76.9,6.45,20.16,29.3,3.17,46587
115.0,Iran,IRN,2021IRN,4,87923.4,73.9,4.79,10.50,29.0,3.17,15005
116.0,Benin,BEN,2021BEN,5,12996.9,59.8,4.49,1.55,28.9,3.17,3322
117.0,Burkina Faso,BFA,2021BFA,5,22100.7,59.3,4.64,1.87,28.8,3.17,2180
118.0,Tanzania,TZA,2021TZA,5,63588.3,66.2,3.68,1.61,28.8,3.17,2583
119.0,Liberia,LBR,2021LBR,5,5193.4,60.7,4.05,0.48,28.6,3.17,1423
120.0,Rwanda,RWA,2021RWA,5,13461.9,66.1,3.40,0.70,28.1,3.17,2238
121.0,India,IND,2021IND,6,1407563.8,67.2,3.56,2.10,27.8,3.17,6677
122.0,Russia,RUS,2021RUS,7,145102.8,69.4,5.45,12.09,27.8,3.17,28194
123.0,Haiti,HTI,2021HTI,1,11447.6,63.2,3.81,1.33,27.5,3.17,2881
124.0,Malawi,MWI,2021MWI,5,19889.7,62.9,3.64,0.69,27.0,3.17,1491
125.0,Yemen,YEM,2021YEM,4,32981.6,63.8,3.64,1.38,26.6,3.17,0
126.0,United Arab Emirates,ARE,2021ARE,4,9365.1,78.7,6.73,26.78,26.4,3.17,69734
127.0,Togo,TGO,2021TGO,5,8644.8,61.6,4.04,2.16,26.3,3.17,2137
128.0,Hong Kong,HKG,2021HKG,8,7494.6,85.5,5.32,23.50,26.3,3.17,60037
129.0,Turkmenistan,TKM,2021TKM,7,6341.9,69.3,5.45,14.23,25.6,3.17,0
130.0,Congo (Kinshasa),COD,2021COD,5,95894.1,59.2,3.80,0.57,24.9,3.17,1074
131.0,Trinidad and Tobago,TTO,2021TTO,1,1525.7,73.0,6.20,21.81,24.9,3.17,23037
132.0,Luxembourg,LUX,2021LUX,3,639.3,82.6,7.06,34.91,24.6,3.17,115683
133.0,Sierra Leone,SLE,2021SLE,5,8420.6,60.1,3.71,0.89,24.6,3.17,1615
134.0,Kuwait,KWT,2021KWT,4,4250.1,78.7,6.17,28.84,23.2,3.17,45652
135.0,Mali,MLI,2021MLI,5,21905.0,58.9,4.11,3.76,22.2,3.17,2121
136.0,Namibia,NAM,2021NAM,5,2530.2,59.3,4.49,6.22,21.8,3.17,9209
