,"1. Rankings for all countries, 2006 - 2021",,,,,,,,,,
"Dataset with option to select the year, and see the results for all countries for that year. Sort by HPI score, life expectancy, GDP per capita or any other variable in the data set. You can filter by continent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CHOOSE YEAR HERE: ,,2011,,,,,,,Good,,
USE THE FILTERS BELOW TO SORT BY HPI RANK OR COMPONENT,,,,,,,,,Average,,
,,,,,,,,,Poor,,
,,,,,,,,,,,
HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Carbon Footprint (tCO2e),HPI,CO2 threshold for year  (tCO2e),GDP per capita ($)
50.0,Japan,JPN,2011JPN,8,128007.3,82.7,6.26,13.68,39.9,3.55,38150
139.0,Bhutan,BTN,2011BTN,6,713.3,68.9,0.00,3.19,0.0,3.55,8499
64.0,China,CHN,2011CHN,8,1357095.5,75.9,5.04,7.15,37.6,3.55,9680
68.0,North Macedonia,MKD,2011MKD,7,2097.1,75.2,4.90,6.50,37.3,3.55,13807
66.0,Kyrgyzstan,KGZ,2011KGZ,7,5552.3,68.6,4.92,3.57,37.3,3.55,4335
51.0,Taiwan,TWN,2011TWN,8,23143.1,79.0,6.31,12.23,39.7,3.55,0
82.0,Lithuania,LTU,2011LTU,7,3099.8,73.9,5.43,10.06,34.0,3.55,25969
72.0,Slovakia,SVK,2011SVK,7,5402.7,76.0,5.95,11.27,36.8,3.55,26281
49.0,Sri Lanka,LKA,2011LKA,6,20859.7,73.4,4.18,1.81,40.0,3.55,9965
139.0,Iceland,ISL,2011ISL,3,319.3,82.2,0.00,18.70,0.0,3.55,48186
70.0,Poland,POL,2011POL,7,38620.8,76.7,5.65,10.34,36.9,3.55,24874
40.0,Indonesia,IDN,2011IDN,8,247099.7,68.8,5.17,2.85,41.1,3.55,8611
44.0,Mauritius,MUS,2011MUS,5,1286.2,74.2,5.48,6.46,40.6,3.55,17989
41.0,Uruguay,URY,2011URY,1,3361.6,77.0,6.55,11.31,41.0,3.55,20496
112.0,Bahrain,BHR,2011BHR,4,1212.1,78.9,4.82,15.65,27.5,3.55,46565
61.0,Bosnia and Herzegovina,BIH,2011BIH,7,3743.1,77.0,4.99,7.27,38.0,3.55,10933
103.0,Senegal,SEN,2011SEN,5,12875.9,65.3,3.83,1.76,29.5,3.55,2791
