"","HPI rank","Country","ISO","...4","Continent","Population (thousands)","Life Expectancy (years)","Ladder of life (Wellbeing) (0-10)","Carbon Footprint (tCO2e)","HPI","CO2 threshold for year  (tCO2e)","GDP per capita ($)"
"1",148,"Burundi","BDI","2021BDI",5,12551.2,61.7,0,0.65,0,3.17,714
"2",148,"Sudan","SDN","2021SDN",5,45657.2,65.3,0,0.87,0,3.17,3701
"3",1,"Vanuatu","VUT","2021VUT",8,319.1,70.4,7.12,2.62,57.9,3.17,2800
"4",2,"Sweden","SWE","2021SWE",3,10467.1,83,7.44,8.7,55.9,3.17,53772
"5",3,"El Salvador","SLV","2021SLV",1,6314.2,70.7,6.43,2.03,54.7,3.17,9192
"6",4,"Costa Rica","CRI","2021CRI",1,5154,77,6.41,4.37,54.1,3.17,21190
"7",5,"Nicaragua","NIC","2021NIC",1,6850.5,73.8,6.1,2.61,53.6,3.17,5692
"8",6,"Denmark","DNK","2021DNK",3,5854.2,81.4,7.7,10.04,53,3.17,57963
"9",7,"Spain","ESP","2021ESP",3,47486.9,83,6.47,7.12,53,3.17,37933
"10",8,"Panama","PAN","2021PAN",1,4351.3,76.2,6.55,5.24,52,3.17,30417
"11",9,"France","FRA","2021FRA",3,64531.4,82.5,6.66,7.91,52,3.17,44993
"12",10,"Chile","CHL","2021CHL",1,19493.2,78.9,6.44,6.2,51.3,3.17,25413
"13",11,"Portugal","PRT","2021PRT",3,10290.1,81,6.18,6.36,51,3.17,33681
"14",12,"Moldova","MDA","2021MDA",7,3061.5,68.8,5.96,1.29,50.9,3.17,13602
"15",13,"Honduras","HND","2021HND",1,10278.3,70.1,6.11,2.19,50.8,3.17,5572
"16",14,"Netherlands","NLD","2021NLD",3,17501.7,81.7,7.31,10.11,50.7,3.17,56617
"17",15,"Norway","NOR","2021NOR",3,5403,83.2,7.36,11.02,50.5,3.17,65909
"18",16,"Guatemala","GTM","2021GTM",1,17608.5,69.2,6.3,2.47,50.4,3.17,8927
"19",17,"Finland","FIN","2021FIN",3,5536,82,7.79,12.19,49.8,3.17,48713
"20",18,"Italy","ITA","2021ITA",3,59240.3,82.9,6.47,8.49,49.6,3.17,42056
"21",19,"United Kingdom","GBR","2021GBR",3,67281,80.7,6.87,8.94,49.5,3.17,44949
"22",20,"Romania","ROU","2021ROU",7,19328.6,74.2,6.55,5.42,49.4,3.17,30974
"23",21,"Philippines","PHL","2021PHL",8,113880.3,69.3,5.97,2.08,49,3.17,8096
"24",22,"Israel","ISR","2021ISR",4,8900.1,82.3,7.58,12.25,48.6,3.17,42409
"25",23,"Greece","GRC","2021GRC",3,10445.4,80.1,6.1,6.89,48.3,3.17,29548
"26",24,"Slovenia","SVN","2021SVN",7,2119.4,80.7,6.76,9.26,48.1,3.17,40036
