"","HPI","ISO","year"
"217",39.5,"AUS",2021
"218",39.3,"MLT",2021
"219",39.2,"BGD",2021
"220",39.1,"MYS",2021
"221",39.1,"LVA",2021
"222",39,"LBY",2021
"223",38.9,"BEL",2021
"224",38.7,"BLR",2021
"225",38.6,"TUN",2021
"226",38.3,"EST",2021
"227",38,"KOR",2021
"228",37.5,"BGR",2021
"229",37.4,"NPL",2021
"230",37.2,"CAN",2021
"231",37.2,"GEO",2021
"232",36.4,"CYP",2021
"233",36.4,"UKR",2021
"234",36.3,"KHM",2021
"235",35.5,"MNE",2021
"236",35.2,"COG",2021
"237",35,"SRB",2021
"238",34.4,"GAB",2021
"239",34.4,"AZE",2021
"240",34,"ETH",2021
"241",33.9,"PRY",2021
"242",33.8,"TUR",2021
"243",33.7,"PAK",2021
"244",33.4,"IRQ",2021
"245",33.4,"CMR",2021
"246",33.2,"MOZ",2021
"247",32.9,"GHA",2021
"248",32.8,"JOR",2021
"249",32.7,"VEN",2021
"250",32.4,"MRT",2021
"251",32.3,"CIV",2021
"252",32.2,"EGY",2021
"253",32.1,"USA",2021
"254",32.1,"BOL",2021
"255",31.6,"MMR",2021
"256",30.9,"GIN",2021
"257",30.7,"UGA",2021
"258",30.7,"KEN",2021
"259",30.6,"NER",2021
"260",30.5,"SGP",2021
"261",30.2,"LAO",2021
"262",29.8,"MDG",2021
"263",29.4,"KAZ",2021
"264",29.3,"ZAF",2021
"265",29.3,"SAU",2021
"266",29,"IRN",2021
"267",28.9,"BEN",2021
"268",28.8,"BFA",2021
"269",28.8,"TZA",2021
"270",28.6,"LBR",2021
"271",28.1,"RWA",2021
"272",27.8,"IND",2021
"273",27.8,"RUS",2021
"274",27.5,"HTI",2021
"275",27,"MWI",2021
"276",26.6,"YEM",2021
"277",26.4,"ARE",2021
"278",26.3,"TGO",2021
"279",26.3,"HKG",2021
"280",25.6,"TKM",2021
"281",24.9,"COD",2021
"282",24.9,"TTO",2021
"283",24.6,"LUX",2021
"284",24.6,"SLE",2021
"285",23.2,"KWT",2021
"286",22.2,"MLI",2021
"287",21.8,"NAM",2021
