Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Japan,0.0,40.1,38.4,39.8,40.2,39.9,38.0,38.6,39.0,39.5,40.3,40.2,39.9,41.1,43.4,42.7
Bhutan,0.0,0.0,,,,,,43.7,39.2,40.8,,,,,42.2,42.3
China,38.1,39.9,38.9,35.1,35.9,37.6,37.7,38.5,38.3,39.1,39.4,37.6,37.8,37.8,41.9,41.9
North Macedonia,0.0,34.3,34.0,34.1,32.6,37.3,35.4,40.4,40.7,39.2,41.9,40.8,41.9,40.2,39.8,41.7
Kyrgyzstan,34.7,36.6,36.6,37.8,38.2,37.3,38.7,40.2,39.5,37.3,37.8,43.9,40.8,43.1,46.4,41.4
Taiwan,38.5,35.8,34.9,38.8,39.0,39.7,38.9,40.7,40.5,41.7,41.8,40.5,40.9,42.1,44.9,41.2
Lithuania,36.1,34.1,33.5,35.8,33.3,34.0,36.9,35.9,39.0,35.9,37.0,39.4,38.5,37.4,39.9,41.0
Slovakia,32.5,0.0,0.0,,,,,,,,,,,,,
Sri Lanka,41.7,42.3,41.6,37.2,38.8,40.0,40.6,42.3,41.5,44.6,43.3,42.0,43.1,40.9,46.6,40.4
Iceland,0.0,0.0,36.1,,,,40.0,38.9,39.1,38.8,38.5,38.5,38.6,38.4,41.1,40.3
Poland,0.0,37.9,37.5,38.1,38.3,36.9,38.6,38.4,39.2,40.7,41.8,41.4,40.6,42.3,42.5,40.3
Indonesia,40.6,41.7,38.9,43.9,44.0,41.1,42.3,43.0,45.6,40.5,40.7,40.9,42.7,42.4,37.3,40.1
Mauritius,0.0,0.0,0.0,,,,,,,,,,,,,
Uruguay,37.4,37.1,35.4,40.4,40.2,41.0,38.6,39.7,41.7,42.6,40.4,41.6,40.9,41.8,41.7,39.9
Bahrain,0.0,0.0,0.0,,,,,,,,,,,,,
Bosnia and Herzegovina,0.0,39.2,0.0,,,,,,,,,,,,,
Senegal,31.0,34.0,34.4,32.7,33.2,29.5,28.4,28.7,34.9,37.2,37.7,38.7,39.7,46.1,39.6,39.7
Australia,0.0,33.1,34.1,33.8,34.9,34.4,33.0,35.2,35.0,35.2,35.8,36.0,36.6,37.1,39.9,39.5
Malta,0.0,0.0,0.0,,,,,,,,,,,,,
Bangladesh,38.3,40.1,44.2,44.7,43.8,44.9,43.3,42.5,42.6,42.9,42.7,41.1,43.3,48.4,49.2,39.2
Malaysia,42.8,43.9,39.7,37.6,37.6,39.0,38.9,36.7,37.8,40.2,,,34.5,35.2,40.1,39.1
Latvia,29.6,28.1,31.6,31.4,32.2,33.6,34.1,34.3,38.6,39.5,40.0,39.6,37.9,37.7,40.6,39.1
Libya,0.0,0.0,0.0,,,,,,,,,,,,,
Belgium,0.0,32.1,33.1,35.8,34.0,34.4,35.6,36.8,36.5,36.8,37.9,37.7,37.0,36.8,38.6,38.9
Belarus,37.4,37.0,35.0,39.9,38.3,38.5,40.3,40.8,40.6,41.0,37.9,40.6,37.8,41.2,39.8,38.7
Tunisia,0.0,0.0,0.0,,,,,,,,,,,,,
Estonia,26.8,26.8,28.0,27.0,28.3,29.7,29.3,29.8,30.9,31.8,32.3,34.2,35.4,35.7,39.6,38.3
South Korea,32.5,34.5,32.6,36.1,36.7,41.0,36.3,36.3,35.6,35.6,36.6,35.9,35.3,36.5,37.1,38.0
Bulgaria,0.0,26.4,0.0,,,,,,,,,,,,,
Nepal,38.3,40.2,37.5,41.5,36.4,32.2,35.8,39.1,42.1,40.1,43.1,39.8,40.3,45.1,49.5,37.4
Canada,0.0,34.8,35.6,36.8,36.7,36.9,35.8,36.6,35.7,36.8,36.8,37.3,35.9,36.2,38.0,37.2
Georgia,29.9,30.0,33.4,32.0,34.3,34.4,33.8,34.9,34.3,33.1,35.6,35.8,36.9,38.3,40.0,37.2
Cyprus,35.6,0.0,0.0,,,,,,,,,,,,,
Ukraine,30.5,32.4,32.0,34.6,33.7,33.5,33.3,31.5,30.5,29.9,30.4,32.6,33.8,34.4,37.4,36.4
Cambodia,27.5,32.6,35.6,33.4,33.6,34.1,32.5,30.9,32.9,35.1,37.6,38.5,41.7,40.6,36.0,36.3
