HPI,ISO,year
14.3,CAF,2020
0,BDI,2019
0,SDN,2019
55.3,VUT,2019
54,SWE,2019
57.2,SLV,2019
61.7,CRI,2019
53.9,NIC,2019
51.4,DNK,2019
52.2,ESP,2019
49.7,PAN,2019
50.8,FRA,2019
48.9,CHL,2019
49.7,PRT,2019
52.1,MDA,2019
52.6,HND,2019
50.1,NLD,2019
49.8,NOR,2019
54.6,GTM,2019
47.7,FIN,2019
48.9,ITA,2019
50.3,GBR,2019
48,ROU,2019
54.3,PHL,2019
47.3,ISR,2019
46.8,GRC,2019
46.6,SVN,2019
43.8,HRV,2019
50.6,THA,2019
48.4,TJK,2019
48.7,IRL,2019
43.5,DZA,2019
48.2,DOM,2019
53.5,PER,2019
0,CZE,2019
46.6,ALB,2019
52.2,BRA,2019
46.8,DEU,2019
45.4,VNM,2019
44.8,AUT,2019
43.6,MAR,2019
51,ECU,2019
49.7,JAM,2019
46.7,ARG,2019
42,NZL,2019
50.5,MEX,2019
42.7,UZB,2019
47.8,ARM,2019
42.1,HUN,2019
54.7,COL,2019
42.8,CHE,2019
41.1,JPN,2019
0,BTN,2019
37.8,CHN,2019
40.2,MKD,2019
43.1,KGZ,2019
42.1,TWN,2019
37.4,LTU,2019
41.1,SVK,2019
40.9,LKA,2019
38.4,ISL,2019
42.3,POL,2019
42.4,IDN,2019
43.6,MUS,2019
41.8,URY,2019
42.2,BHR,2019
42.5,BIH,2019
46.1,SEN,2019
37.1,AUS,2019
38.9,MLT,2019
48.4,BGD,2019
35.2,MYS,2019
37.7,LVA,2019
40.9,LBY,2019
36.8,BEL,2019
41.2,BLR,2019
39.1,TUN,2019
35.7,EST,2019
36.5,KOR,2019
37.7,BGR,2019
45.1,NPL,2019
36.2,CAN,2019
38.3,GEO,2019
34.5,CYP,2019
34.4,UKR,2019
40.6,KHM,2019
34.8,MNE,2019
36.5,COG,2019
35.9,SRB,2019
33.7,GAB,2019
37,AZE,2019
35,ETH,2019
37,PRY,2019
38.9,TUR,2019
33.9,PAK,2019
32.9,IRQ,2019
34.4,CMR,2019
33.4,MOZ,2019
38.7,GHA,2019
38.4,JOR,2019
35.3,VEN,2019
31.2,MRT,2019
